total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
1,ARG,89.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,AUS,798.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,AUT,142.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,BEL,264.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,BGR,36.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,BRA,515.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,CAN,514.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,CHE,48.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,CHL,240.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,CHN,56.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,COL,18.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,DEU,745.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,DNK,41.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,ESP,507.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,EST,21.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,FIN,1055.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,FRA,259.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,GBR,1175.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,GRC,61.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,HKG,11.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,HUN,24.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,IDN,37.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,IND,565.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,IRL,53.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,ISR,27.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,ITA,1398.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,JPN,66.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,LVA,20.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,MEX,174.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,NLD,314.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,NOR,81.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,PER,4.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,PHL,82.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,POL,21.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,PRT,165.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
1,ROU,89.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
